取引先コード,取引先名,取引先名かな,取引先略称名,インボイス発行事業者区分,インボイス登録番号,郵便番号,住所1,住所2,住所3,国名,取引通貨,国内・国外取引,タグ,フラグ,得意先有無,仕入先有無,請求先コード,請求先は宛名の置換のみ,得意先部署,得意先担当者役職,得意先担当者,得意先敬称,得意先電話番号,得意先FAX番号,得意先メールアドレス,得意先担当者コード,得意先担当社員名,得意先取引形態区分,得意先締日１,得意先締日２,得意先締日３,入金予定日１,入金予定日２,入金予定日３,得意先単価ランク,得意先掛率,得意先別単価の使用,得意先金額丸め区分,得意先内税外税区分,得意先消費税計上区分,得意先消費税丸め区分,与信限度額,前回請求額,前回売掛残,前回請求額（円転）,前回売掛残（円転）,売上伝票採番区分,請求書発行区分,請求書入金明細印字区分,見積書発行元ｺｰﾄﾞ,注文請書発行元ｺｰﾄﾞ,納品書発行元ｺｰﾄﾞ,請求書発行元ｺｰﾄﾞ,インボイス発行元ｺｰﾄﾞ,統一伝票用社名,統一伝票用店名,統一伝票用社店コード,統一伝票用分類コード,統一伝票用伝票区分,統一伝票用取引先ｺｰﾄﾞ,統一伝票用L欄,得意先メモ,支払先コード,支払先は宛名の置換のみ,仕入先部署,仕入先担当者役職,仕入先担当者,仕入先敬称,仕入先電話番号,仕入先FAX番号,仕入先メールアドレス,仕入先担当者コード,仕入先担当社員名,仕入先取引形態区分,仕入先締日１,仕入先締日２,仕入先締日３,支払予定日１,支払予定日２,支払予定日３,仕入先単価ランク,仕入先掛率,仕入先別単価の使用,仕入先金額丸め区分,仕入先内税外税区分,仕入先消費税計上区分,仕入先消費税丸め区分,前回支払予定額,前回買掛残,前回支払予定額（円転）,前回買掛残（円転）,仕入伝票採番区分,支払書発行区分,支払書支払明細印字区分,注文書発行元ｺｰﾄﾞ,支払書発行元ｺｰﾄﾞ,PO発行元ｺｰﾄﾞ,仕入先メモ,登録日時,最終更新日時,部門
00010,ココカラファイン　吉祥寺南口店,ここからふぁいん　きちじょうじみなみぐちてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00010,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:27:51,2020/07/19 13:35:06,輸出事業
000100,メグロ化学工業株式会社,めぐろかがくこうぎょう,,,,3060204,茨城県古河市下大野1768,,,,001,国内,,,有,有,000100,N,,,,,,,,,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,000100,Y,,,,御中,,,,,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2019/09/11 18:35:35,2024/01/11 10:49:58,輸出事業
00011,ココカラファイン　ウィング高輪店,ここからふぁいん　うぃんぐたかなわてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00011,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:28:39,2020/07/19 13:35:06,輸出事業
00012,ココカラファイン　八王子北口店,ここからふぁいん　はちおうじきたぐちてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00012,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:29:19,2020/07/19 13:35:06,輸出事業
00013,ココカラファイン　昭島店,ここからふぁいん　あきしまてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00013,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:32:48,2020/07/19 13:35:06,輸出事業
00014,ココカラファイン　武蔵小岩井店,ここからふぁいん　むさしこいわいてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00014,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:39:20,2020/07/19 13:35:06,輸出事業
00015,ドンキホーテ　秋葉原店,どんきほおて　あきはばらてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00015,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:39:56,2020/07/19 13:35:06,輸出事業
00016,ドンキホーテ　渋谷店,どんきほおて　しぶやてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00016,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:41:12,2020/07/19 13:35:06,輸出事業
00017,ドンキホーテ　新宿店,どんきほおて　しんじゅくてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00017,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:44:13,2020/07/19 13:35:06,輸出事業
00018,ドンキホーテ　銀座店,どんきほおて　ぎんざてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00018,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:44:40,2020/07/19 13:35:06,輸出事業
00019,ドンキホーテ　環七方南町店,どんきほおて　かんしちほうなんちょうてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00019,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:46:44,2020/07/19 13:35:06,輸出事業
000195,ドマ株式会社,どま,,インボイス発行事業者,T3011401020970,1740055,東京都板橋区泉町10-1-501,,,,JPY,国内,,,有,有,000195,Y,,,,御中,080-5462-8882,,,00099,劉　華芸,都度請求,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,000195,N,,,,,080-5462-8882,,,,,,,,,,,,1,100,不使用,基本設定参照,内税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/03/26 10:26:25,2025/04/12 01:25:05,輸出事業
00020,ドンキホーテ　伊勢佐木町店,どんきほおて　いせざきまちてん,,,,,,,,,001,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00020,Y,,,,御中,,,,,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:47:34,2024/06/20 18:53:46,輸出事業
00021,ドンキホーテ　パウかわさき店,どんきほおて　ぱうかわさきてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00021,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:55:07,2020/07/19 13:35:06,輸出事業
00022,ドンキホーテ　八王子店,どんきほおて　はちおうじてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00022,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:55:36,2020/07/19 13:35:06,輸出事業
00023,ドンキホーテ　武蔵小金井店,どんきほおて　むさしこがねいてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:04:35,2020/07/19 13:35:06,輸出事業
00024,ドンキホーテ　東八三鷹店,どんきほおて　とうはちみたかてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00024,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:06:34,2020/07/19 13:35:06,輸出事業
00025,ドンキホーテ　吉祥寺店,どんきほおて　きちじょうじてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00025,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:07:04,2020/07/19 13:35:06,輸出事業
00026,ドンキホーテ　エッセンス関町店,どんきほおて　えっせんすせきまちてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00026,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:07:37,2020/07/19 13:35:06,輸出事業
00027,ドンキホーテ　西早稲田店,どんきほおて　にしわせだてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00027,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:08:09,2020/07/19 13:35:06,輸出事業
00028,ハックドラッグ　池袋店,はっくどらっぐ　いけぶくろてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00028,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:08:49,2020/07/19 13:35:06,輸出事業
00029,スギ薬局　阿佐ヶ谷店,すぎやっきょく　あさがやてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00029,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:09:22,2020/07/19 13:35:06,輸出事業
00030,スギ薬局　京橋店,すぎやっきょく　きょうばしてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00030,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:09:46,2020/07/19 13:35:06,輸出事業
000305,健尚美株式会社,けんしょうびかぶしきがいしゃ,,,,1140023,東京都北区滝野川7-3-2,互恵板橋ハイム3回,,,JPY,国内,,,有,有,000305,Y,,代表取締役,毛夜明,御中,03-5972-1906,03-5972-1907,,00099,劉　華芸,都度請求,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,000305,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,内税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/07/18 14:29:19,2025/07/18 14:29:19,輸出事業
00031,スギ薬局　日本橋横山町店,すぎやっきょく　にほんばしよこやままちてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00031,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:10:18,2020/07/19 13:35:06,輸出事業
00032,スギ薬局　上野広小路店,すぎやっきょく　うえのひろこうじてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00032,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:11:39,2020/07/19 13:35:06,輸出事業
00033,ミネドラッグ　新宿東口店,みねどらっぐ　しんじゅくひがしぐちてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00033,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:12:09,2020/07/19 13:35:06,輸出事業
00034,ミネドラッグ　笹塚店,みねどらっぐ　ささづかてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00034,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:12:47,2020/07/19 13:35:06,輸出事業
00035,サンドラッグ　渋谷店,さんどらっぐ　しぶやてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00035,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:13:27,2020/07/19 13:35:06,輸出事業
00036,サンドラッグ　新宿東口店,さんどらっぐ　しんじゅくひがしぐちてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00036,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:13:55,2020/07/19 13:35:06,輸出事業
00037,ウェルパーク　八王子北口店,うぇるぱあく　はちおうじきたぐちてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00037,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:15:06,2020/07/19 13:35:06,輸出事業
00038,ダイコクドラッグ　新宿五丁目店,だいこくどらっぐ　しんじゅくごちょうめてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00038,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:18:59,2020/07/19 13:35:06,輸出事業
00039,多慶屋,たけや,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00039,Y,,,,御中,,,,00005,泉　秀之,現金仕入,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:21:56,2020/07/19 13:35:06,輸出事業
00040,株式会社長寿乃里,ちょうじゅのさと,,,,,,,,,JPY,国内,,,有,有,00040,Y,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00040,Y,,,,御中,,,,00002,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 13:23:31,2021/01/05 09:20:01,輸出事業
00041,株式会社ライブ,らいぶ,,インボイス発行事業者,T6010001095792,,,,,,JPY,国内,,,有,有,00041,Y,,,,御中,,,,00008,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00041,Y,,,,御中,,,,00002,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/01/16 17:56:43,2023/08/31 15:44:21,輸出事業
00042,株式会社和円商事,わえん商事,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00042,Y,,,,御中,,,,00002,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/01/16 17:57:26,2020/07/19 13:35:06,輸出事業
00043,株式会社グラフィコ,ぐらふぃこ,,,,,,,,,JPY,国内,,,有,有,00043,Y,,,,御中,,,,,,都度請求,,,,,,,1,100,不使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00043,Y,,,,御中,,,,00002,,掛仕入,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/01/16 17:57:53,2021/05/06 15:35:30,輸出事業
00044,株式会社盛松堂,せいしょうどう,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00044,Y,,,,御中,,,,00002,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/01/16 17:58:23,2020/07/19 13:35:06,輸出事業
00045,株式会社ときわ商会,ときわしょうかい,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00045,Y,,,,御中,,,,00005,泉　秀之,掛仕入,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/01/16 17:58:41,2024/06/18 13:53:13,輸出事業
00046,株式会社セグレート,せぐれえと,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00046,Y,,,,御中,,,,00002,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/01/16 17:59:08,2020/07/19 13:35:06,輸出事業
00047,株式会社モッズ,もっず,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00047,Y,,,,御中,,,,00002,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/01/16 17:59:48,2020/07/19 13:35:06,輸出事業
00048,マツモトキヨシ　池袋Part2店,まつもときよしいけぶくろPart2てん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00048,Y,,,,御中,,,,00002,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/01/16 18:07:02,2020/07/19 13:35:06,輸出事業
