Unique ID,出荷日,商品名,数量,元データ合計金額,売上高,原価単価,原価計算根拠,売上原価,物流業者(推測後),業者推測根拠,箱数,箱数計算ルール,箱単価,物流費
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"11,000",11000.0,3848.0,マスター参照,3848.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"11,000",11000.0,3848.0,マスター参照,3848.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,8.0,"90,000",90000.0,3848.0,マスター参照,30784.0,EMS,元データ,4,マンジャロルール (数量/2),1308,5232
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"50,000",50000.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"44,000",44000.0,7696.0,マスター参照,15392.0,不明,推測不能,0,,0,0
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,000",23000.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"28,600",28600.0,3848.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,000",23000.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,600",23600.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/07/02,Dayvigo莱博雷生10mg 100錠,1.0,"25,800",25800.0,12360.0,マスター参照,12360.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"52,000",52000.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"15,000",15000.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,6.0,"66,000",66000.0,3848.0,マスター参照,23088.0,EMS,元データ,3,マンジャロルール (数量/2),1308,3924
,2025/07/02,Dayvigo莱博雷生5mg 100錠,2.0,"27,500",27500.0,8270.0,マスター参照,16540.0,要町,備考から推測,2.0,通常ルール (数量),1304,2608.0
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"31,500",31500.0,3848.0,マスター参照,7696.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/07/02,Dayvigo莱博雷生10mg 100錠,3.0,"70,400",70400.0,12360.0,マスター参照,37080.0,EMS,元データ,3.0,通常ルール (数量),1308,3924.0
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"48,000",48000.0,7696.0,マスター参照,15392.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"36,000",36000.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/2,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,3.0,"72,000",72000.0,7696.0,マスター参照,23088.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/2,Rybelsus 司美格鲁肽 索马鲁肽片剂 14mg 100錠,1.0,"75,000",75000.0,48850.0,マスター参照,48850.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"28,000",28000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"28,000",28000.0,3848.0,マスター参照,7696.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/7/2,62 津村制药汉方 防风通圣散冲剂  2.5gx1包,12.0,0,0.0,34.5,マスター参照,414.0,EMS,元データ,12.0,通常ルール (数量),1308,15696.0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 1支,3.0,"18,600",18600.0,1924.0,マスター参照,5772.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"19,000",19000.0,3848.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"27,400",27400.0,7696.0,マスター参照,15392.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,4.0,"53,000",53000.0,3848.0,マスター参照,15392.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,4.0,"88,000",88000.0,7696.0,マスター参照,30784.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/3,Rybelsus 司美格鲁肽 索马鲁肽片剂 3mg 1錠,30.0,"6,450",6450.0,139.6,マスター参照,4188.0,EMS,元データ,30.0,通常ルール (数量),1308,39240.0
,2025/7/3,Rybelsus 司美格鲁肽 索马鲁肽片剂 7mg 1錠,30.0,"15,000",15000.0,325.7,マスター参照,9771.0,EMS,元データ,30.0,通常ルール (数量),1308,39240.0
,2025/7/3,Rybelsus 司美格鲁肽 索马鲁肽片剂 14mg 1錠,30.0,"22,500",22500.0,488.5,マスター参照,14655.0,EMS,元データ,30.0,通常ルール (数量),1308,39240.0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"33,000",33000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 10mg 1支,2.0,"17,000",17000.0,7696.0,マスター参照,15392.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 10mg 1支,4.0,"75,000",75000.0,7696.0,マスター参照,30784.0,SF CN,元データ,2,マンジャロルール (数量/2),406,812
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,000",23000.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"26,000",26000.0,3848.0,マスター参照,7696.0,不明,推測不能,0,,0,0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 1支,3.0,"21,000",21000.0,1924.0,マスター参照,5772.0,不明,推測不能,0,,0,0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 12.5mg 1支,6.0,"119,802",119802.0,9620.0,マスター参照,57720.0,EMS,元データ,3,マンジャロルール (数量/2),1308,3924
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"26,600",26600.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,4.0,"87,400",87400.0,7696.0,マスター参照,30784.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/3,Mohrus 久光膏药贴　7枚x1袋,2.0,0,0.0,200.2,マスター参照,400.4,EMS,元データ,2.0,通常ルール (数量),1308,2616.0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,000",23000.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/3,Rybelsus 司美格鲁肽 索马鲁肽片剂 14mg 100錠,1.0,"77,000",77000.0,48850.0,マスター参照,48850.0,SF,元データ,1.0,通常ルール (数量),406,406.0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,5.0,"88,000",88000.0,7696.0,マスター参照,38480.0,EMS,元データ,3,マンジャロルール (数量/2),1308,3924
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"24,000",24000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"34,000",34000.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"13,000",13000.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"36,000",36000.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Quviviq/Daridorexant 达利雷生/达利多雷生50mg 100錠,1.0,"24,300",24300.0,9080.0,マスター参照,9080.0,要町SF,元データ,1.0,通常ルール (数量),1304,1304.0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,4.0,"60,000",60000.0,3848.0,マスター参照,15392.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,55.0,"495,000",495000.0,3848.0,マスター参照,211640.0,神戸物流,元データ,28,マンジャロルール (数量/2),248,6944
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,55.0,"825,000",825000.0,7696.0,マスター参照,423280.0,神戸物流,元データ,28,マンジャロルール (数量/2),248,6944
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,25.0,"475,000",475000.0,11544.0,マスター参照,288600.0,神戸物流,元データ,13,マンジャロルール (数量/2),248,3224
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,6.0,0,0.0,7696.0,マスター参照,46176.0,神戸物流,元データ,3,マンジャロルール (数量/2),248,744
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,2.0,0,0.0,11544.0,マスター参照,23088.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/8,レポフ口キサシン錠500mg,1.0,"9,000",9000.0,1000,固定単価(1000円),1000.0,不明,推測不能,0,,0,0
,2025/7/2,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,4.0,"44,000",44000.0,3848.0,マスター参照,15392.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/2,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,4.0,"68,000",68000.0,7696.0,マスター参照,30784.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/2,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,2.0,"44,000",44000.0,11544.0,マスター参照,23088.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"14,000",14000.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,4.0,"51,000",51000.0,3848.0,マスター参照,15392.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"32,000",32000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"24,000",24000.0,7696.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,3.0,"49,500",49500.0,7696.0,マスター参照,23088.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,3.0,"64,500",64500.0,11544.0,マスター参照,34632.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"10,200",10200.0,3848.0,マスター参照,3848.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,50.0,"700,000",700000.0,7696.0,マスター参照,384800.0,大阪神洲物流,元データ,25,マンジャロルール (数量/2),606,15150
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,40.0,"900,000",900000.0,11544.0,マスター参照,461760.0,大阪神洲物流,元データ,20,マンジャロルール (数量/2),606,12120
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 10mg 1支,2.0,"40,000",40000.0,7696.0,マスター参照,15392.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,2.0,"16,500",16500.0,3848.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 7.5mg 1支,2.0,"21,000",21000.0,5772.0,マスター参照,11544.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,2.0,"23,000",23000.0,3848.0,マスター参照,7696.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"16,500",16500.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,6.0,0,0.0,7696.0,マスター参照,46176.0,SF CN,元データ,3,マンジャロルール (数量/2),406,1218
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,1.0,0,0.0,11544.0,マスター参照,11544.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"11,500",11500.0,3848.0,マスター参照,3848.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"26,600",26600.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,4.0,"85,800",85800.0,7696.0,マスター参照,30784.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/4,Dayvigo莱博雷生10mg 100錠,2.0,"47,100",47100.0,12360.0,マスター参照,24720.0,要町SF,元データ,2.0,通常ルール (数量),1304,2608.0
,2025/7/4,Quviviq/Daridorexant 达利雷生/达利多雷生50mg 100錠,1.0,"24,300",24300.0,9080.0,マスター参照,9080.0,要町SF,元データ,1.0,通常ルール (数量),1304,1304.0
,2025/7/4,Dayvigo莱博雷生10mg 100錠,1.0,"22,800",22800.0,12360.0,マスター参照,12360.0,要町SF,元データ,1.0,通常ルール (数量),1304,1304.0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,1.0,"22,000",22000.0,11544.0,マスター参照,11544.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/7/3,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"22,000",22000.0,7696.0,マスター参照,7696.0,不明,推測不能,0,,0,0
,2025/7/4,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"30,000",30000.0,3848.0,マスター参照,7696.0,不明,推測不能,0,,0,0
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"34,000",34000.0,7696.0,マスター参照,15392.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,0,0.0,7696.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"14,000",14000.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/10,Semaglutide 司美格鲁肽 2mg/1.5ml 1支,1.0,"20,000",20000.0,11151.0,マスター参照,11151.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"14,000",14000.0,3848.0,マスター参照,3848.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,000",23000.0,7696.0,マスター参照,7696.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"18,600",18600.0,3848.0,マスター参照,3848.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"48,000",48000.0,7696.0,マスター参照,15392.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"51,600",51600.0,7696.0,マスター参照,15392.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"33,600",33600.0,3848.0,マスター参照,7696.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 12.5mg 2支x1盒,2.0,"95,000",95000.0,19240.0,マスター参照,38480.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 7.5mg 1支,5.0,"75,000",75000.0,5772.0,マスター参照,28860.0,神戸物流,元データ,3,マンジャロルール (数量/2),248,744
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"10,000",10000.0,3848.0,マスター参照,3848.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,3.0,"84,750",84750.0,7696.0,マスター参照,23088.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,1.0,"36,250",36250.0,11544.0,マスター参照,11544.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"14,000",14000.0,3848.0,マスター参照,3848.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
