Revised Logistics Calculation Log
=================================
Line 2: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 37: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 38: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 39: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 40: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 41: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 42: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 43: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 44: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 45: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 46: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 47: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 48: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 49: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 50: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 51: Processed. Provider: '要町', Cost: 1304, Reason: Inferred from Remarks
Line 52: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 53: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 54: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 55: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 56: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 57: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 58: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 59: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 60: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 61: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 62: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 63: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 64: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 65: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 66: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 67: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 68: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 69: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 70: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 71: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 72: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 73: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 74: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 75: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 76: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 77: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 78: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 79: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 80: Processed. Provider: 'SF', Cost: 406, Reason: Provided in data
Line 81: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 82: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 83: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 84: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 85: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 86: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 87: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 88: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 89: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 90: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 91: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 92: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 93: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 94: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 95: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 96: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 97: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 98: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 99: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 100: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 101: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 102: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 103: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 104: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 105: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 106: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 107: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 108: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 109: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 110: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 111: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 112: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 113: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 114: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 115: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 116: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 117: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 118: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 119: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 120: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 121: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 122: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 123: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 124: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 125: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 126: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 127: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 128: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 129: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 130: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 131: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 132: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 133: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 134: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 135: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 136: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 137: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 138: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 139: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 140: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 141: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 142: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 143: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 144: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 145: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 146: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 147: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 148: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 149: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 150: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 151: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 152: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 153: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 154: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 155: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 156: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 157: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 158: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 159: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 160: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 161: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 162: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 163: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 164: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 165: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 166: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 167: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 168: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 169: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 170: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 171: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 172: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 173: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 174: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 175: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 176: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 177: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 178: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 179: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 180: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 181: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 182: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 183: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 184: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 185: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 186: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 187: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 188: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 189: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 190: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 191: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 192: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 193: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 194: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 195: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 196: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 197: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 198: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 199: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 200: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 201: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 202: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 203: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 204: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 205: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 206: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 207: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 208: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 209: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 210: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 211: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 212: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 213: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 214: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 215: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 216: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 217: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 218: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 219: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 220: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 221: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 222: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 223: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 224: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 225: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 226: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 227: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 228: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 229: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 230: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 231: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 232: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 233: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 234: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 235: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 236: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 237: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 238: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 239: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 240: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 241: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 242: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 243: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 244: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 245: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 246: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 247: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 248: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 249: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 250: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 251: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 252: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 253: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 254: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 255: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 256: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 257: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 258: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 259: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 260: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 261: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 262: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 263: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 264: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 265: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 266: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 267: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 268: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 269: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 270: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 271: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 272: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 273: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 274: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 275: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 276: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 277: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 278: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 279: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 280: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 281: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 282: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 283: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 284: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 285: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 286: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 287: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 288: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 289: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 290: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 291: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 292: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 293: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 294: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 295: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 296: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 297: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 298: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 299: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 300: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 301: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 302: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 303: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 304: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 305: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 306: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 307: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 308: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 309: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 310: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 311: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 312: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 313: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 314: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 315: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 316: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 317: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 318: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 319: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 320: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 321: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 322: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 323: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 324: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 325: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 326: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 327: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 328: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 329: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 330: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 331: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 332: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 333: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 334: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 335: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 336: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 337: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 338: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 339: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 340: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 341: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 342: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 343: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 344: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 345: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 346: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 347: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 348: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 349: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 350: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 351: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 352: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 353: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 354: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 355: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 356: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 357: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 358: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 359: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 360: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 361: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 362: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 363: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 364: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 365: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 366: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 367: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 368: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 369: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 370: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 371: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 372: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 373: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 374: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 375: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
